English,Spanish,French,Arabic,Greek,German,Italian,Portuguese,Russian,Chinese,Japanese,Indonesian,Hindi,Bengali
listings,listados,annonces,القوائم,καταχωρίσεις,Auflistungen,elenchi,listagens,списки,列表,リスト,daftar,लिस्टिंग,তালিকা
models,modelos,modèles,نماذج,μοντέλα,Modelle,modelli,modelos,модели,型号,モデル,model,मॉडल,মডেল
michael,Miguel,michael,مايكل,Μιχαήλ,Michael,Michele,Michael,Майкл,迈克尔,マイケル,michael,माइकल,মাইকেল
known,conocido,connu,معروف,γνωστός,bekannt,conosciuto,conhecido,известный,已知的,知られている,diketahui,ज्ञात,পরিচিত
half,medio,moitié,نصف,ήμισυ,Hälfte,metà,metade,половина,一半,半分,setengah,आधा,অর্ধেক
cases,casos,cas,حالات,περιπτώσεις,Fälle,casi,casos,случаи,案例,ケース,kasus,मामलों,মামলা
step,paso,étape,خطوة,βήμα,Schritt,fare un passo,etapa,шаг,步,ステップ,melangkah,कदम,পদক্ষেপ
engineering,ingeniería,ingénierie,هندسة,μηχανική,Maschinenbau,ingegneria,engenharia,инженерия,工程,エンジニアリング,rekayasa,इंजीनियरिंग,প্রকৌশল
florida,Florida,Floride,فلوريدا,Φλόριντα,Florida,Florida,Flórida,Флорида,佛罗里达,フロリダ,Florida,फ्लोरिडा,ফ্লোরিডা
simple,simple,simple,بسيط,απλός,einfach,semplice,simples,простой,简单的,単純,sederhana,सरल,সহজ
quick,rápido,rapide,سريع,γρήγορα,schnell,presto,rápido,быстрый,快的,素早い,cepat,जल्दी,দ্রুত
none,ninguno,aucun,لا أحد,κανένας,keiner,nessuno,nenhum,никто,没有任何,なし,tidak ada,कोई नहीं,কোনটি
wireless,inalámbrico,sans fil,لاسلكي,ασύρματος,kabellos,senza fili,sem fio,беспроводной,无线的,無線,nirkabel,वायरलेस,বেতার
license,licencia,licence,رخصة,άδεια,Lizenz,licenza,licença,лицензия,执照,ライセンス,lisensi,लाइसेंस,লাইসেন্স
paul,pablo,Paul,بول,Παύλος,Paul,paolo,paulo,Пол,保罗,ポール,Paulus,पॉल,পল
friday,viernes,vendredi,جمعة,Παρασκευή,Freitag,Venerdì,sexta-feira,пятница,星期五,金曜日,Jumat,शुक्रवार,শুক্রবার
lake,lago,lac,بحيرة,λίμνη,See,lago,lago,озеро,湖,湖,danau,झील,হ্রদ
whole,entero,entier,جميع,ολόκληρο,ganz,Totale,todo,весь,所有的,全体,utuh,साबुत,সম্পূর্ণ
annual,anual,annuel,سنوي,ετήσιος,jährlich,annuale,anual,ежегодный,年度的,年間,tahunan,वार्षिक,বার্ষিক
published,publicado,publié,نشرت,δημοσιευμένο,veröffentlicht,pubblicato,publicado,опубликовано,发表,出版された,diterbitkan,प्रकाशित,প্রকাশিত
later,más tarde,plus tard,لاحقاً,αργότερα,später,Dopo,mais tarde,позже,之后,後で,Nanti,बाद में,পরে
basic,básico,basique,أساسي,βασικός,Basic,di base,básico,базовый,基本的,基本的な,dasar,बुनियादी,মৌলিক
sony,sony,Sony,سوني,sony,Sony,sony,sony,Сони,索尼,ソニー,sony,सोनी,সোনি
shows,muestra,montre,يظهر,δείχνει,zeigt,spettacoli,mostra,шоу,节目,ショー,menunjukkan,दिखाता है,দেখায়
corporate,corporativo,entreprise,شركة كبرى,εταιρικός,Unternehmen,aziendale,corporativo,корпоративный,公司的,企業,perusahaan,निगमित,কর্পোরেট
google,Google,Google,جوجل,google,Google,google,Google,Google,谷歌,グーグル,google,गूगल,গুগল
display,mostrar,afficher,عرض,επίδειξη,Anzeige,display,mostrar,отображать,展示,画面,menampilkan,प्रदर्शन,প্রদর্শন
method,método,méthode,طريقة,μέθοδος,Verfahren,metodo,método,метод,方法,方法,metode,तरीका,পদ্ধতি
purchase,compra,achat,شراء,αγορά,kaufen,acquistare,comprar,покупка,购买,購入,pembelian,खरीदना,ক্রয়
customers,clientes,clients,عملاء,πελάτες,Kunden,clienti,clientes,клиенты,顾客,顧客,pelanggan,ग्राहकों,গ্রাহকদের
active,activo,actif,نشيط,ενεργός,aktiv,attivo,ativo,активный,积极的,アクティブ,aktif,सक्रिय,সক্রিয়
response,respuesta,réponse,إجابة,απάντηση,Antwort,risposta,resposta,ответ,回复,応答,tanggapan,प्रतिक्रिया,প্রতিক্রিয়া
practice,práctica,pratique,يمارس,πρακτική,üben,pratica,prática,упражняться,实践,練習する,praktik,अभ्यास,অনুশীলন
hardware,hardware,matériel,الأجهزة,μηχανήματα υπολογιστών,Hardware,hardware,hardware,аппаратное обеспечение,硬件,ハードウェア,perangkat keras,हार्डवेयर,হার্ডওয়্যার
figure,cifra,chiffre,شكل,εικόνα,Figur,figura,figura,фигура,数字,形,angka,आकृति,চিত্র
materials,materiales,matériels,مواد,υλικά,Materialien,materiali,materiais,материалы,材料,材料,bahan,सामग्री,উপকরণ
fire,fuego,feu,نار,φωτιά,Feuer,fuoco,fogo,огонь,火,火,api,आग,আগুন
holiday,día festivo,vacances,عطلة,αργία,Urlaub,vacanza,feriado,праздничный день,假期,休日,hari libur,छुट्टी,ছুটির দিন
chat,charlar,chat,محادثة,κουβέντα,chatten,chiacchierata,bater papo,чат,聊天,チャット,mengobrol,बात करना,চ্যাট
enough,suficiente,assez,كافٍ,αρκετά,genug,Abbastanza,suficiente,достаточно,足够的,十分,cukup,पर्याप्त,যথেষ্ট
designed,diseñado,conçu,مصممة,σχεδιασμένο,entworfen,progettato,projetado,разработанный,设计的,設計された,dirancang,डिजाइन,পরিকল্পিত
along,a lo largo de,le long de,على امتداد,κατά μήκος,entlang,lungo,junto,вдоль,沿着,平行,bersama,साथ में,বরাবর
among,entre,parmi,ضمن,αναμεταξύ,unter,tra,entre,среди,之中,の間で,di antara,के बीच,মধ্যে
death,muerte,la mort,موت,θάνατος,Tod,morte,morte,смерть,死亡,死,kematian,मौत,মৃত্যু
writing,escribiendo,en écrivant,كتابة,γράψιμο,Schreiben,scrivere,escrita,письмо,写作,書き込み,menulis,लिखना,লেখা
speed,velocidad,vitesse,سرعة,ταχύτητα,Geschwindigkeit,velocità,velocidade,скорость,速度,スピード,kecepatan,रफ़्तार,গতি
html,HTML,HTML,أتش تي أم أل,html,html,html,HTML,HTML,html,html,html,एचटीएमएल,html
countries,países,pays,بلدان,χωρών,Länder,Paesi,países,страны,国家,国,negara,देशों,দেশগুলি
loss,pérdida,perte,خسارة,απώλεια,Verlust,perdita,perda,потеря,损失,損失,kehilangan,नुकसान,ক্ষতি
face,rostro,affronter,وجه,πρόσωπο,Gesicht,viso,face,лицо,脸,顔,menghadapi,चेहरा,মুখ
brand,marca,marque,ماركة,μάρκα,Marke,marca,marca,бренд,品牌,ブランド,merek,ब्रांड,ব্র্যান্ড
discount,descuento,rabais,تخفيض,έκπτωση,Rabatt,sconto,desconto,скидка,折扣,割引,diskon,छूट,ডিসকাউন্ট
higher,más alto,plus haut,أعلى,υψηλότερα,höher,più alto,mais alto,выше,更高,より高い,lebih tinggi,उच्च,উচ্চতর
effects,efectos,effets,تأثيرات,υπάρχοντα,Effekte,effetti,efeitos,эффекты,效果,効果,efek,प्रभाव,প্রভাব
created,creado,créé,مخلوق,δημιουργήθηκε,erstellt,creato,criado,созданный,已创建,作成されました,dibuat,बनाया था,তৈরি
remember,recordar,souviens-toi,يتذكر,θυμάμαι,erinnern,Ricordare,lembrar,помнить,记住,覚えて,Ingat,याद करना,মনে রাখবেন
standards,estándares,normes,المعايير,πρότυπα,Standards,standard,padrões,стандарты,标准,標準,standar,मानकों,মান
oil,aceite,huile,زيت,έλαιο,Öl,olio,óleo,масло,油,油,minyak,तेल,তেল
bit,poco,peu,قليل,κομμάτι,bisschen,morso,pedaço,кусочек,少量,少し,sedikit,अंश,বিট
yellow,amarillo,jaune,أصفر,κίτρινος,Gelb,giallo,amarelo,желтый,黄色的,黄色,kuning,पीला,হলুদ
political,político,politique,سياسي,πολιτικός,politisch,politico,político,политический,政治的,政治的,politik,राजनीतिक,রাজনৈতিক
increase,aumentar,augmenter,يزيد,αύξηση,Zunahme,aumento,aumentar,увеличивать,增加,増加,meningkatkan,बढ़ोतरी,বৃদ্ধি
advertise,anunciar,annoncer,أعلن,διαφημίζω,werben,pubblicizzare,anunciar,рекламировать,广告,宣伝する,mengiklankan,विज्ञापित,বিজ্ঞাপন
kingdom,reino,royaume,مملكة,βασίλειο,Königreich,regno,reino,королевство,王国,王国,kerajaan,साम्राज्य,রাজ্য
base,base,base,قاعدة,βάση,Base,base,base,база,根据,ベース,basis,आधार,ভিত্তি
near,cerca,près,قريب,κοντά,nahe,vicino,aproximar,около,靠近,近く,di dekat,पास में,কাছাকাছি
environmental,ambiental,environnemental,بيئية,περιβαλλοντικές,Umwelt,ambientale,ambiental,относящийся к окружающей среде,环境的,環境,lingkungan,पर्यावरण,পরিবেশগত
thought,pensamiento,pensée,معتقد,σκέψη,Gedanke,Pensiero,pensamento,мысль,想法,考え,pikiran,सोचा,চিন্তা
stuff,cosa,truc,أشياء,υλικό,Sachen,cose,coisa,вещи,东西,もの,hal-hal,सामग्री,জিনিসপত্র
french,francés,Français,فرنسي,Γάλλος,französisch,francese,francês,французский,法语,フランス語,Perancis,फ़्रेंच,ফরাসি
storage,almacenamiento,stockage,تخزين,αποθήκευση,Lagerung,magazzinaggio,armazenar,хранилище,贮存,ストレージ,penyimpanan,भंडारण,স্টোরেজ
oh,Vaya,Oh,أوه,ω,Oh,OH,oh,ой,哦,おお,Oh,ओह,ওহ
japan,Japón,Japon,اليابان,Ιαπωνία,Japan,Giappone,Japão,Япония,日本,日本,Jepang,जापान,জাপান
doing,haciendo,faire,عمل,πράξη,tun,facendo,fazendo,делает,正在做,やってる,sedang mengerjakan,कर रहा है,করছেন
loans,préstamos,prêts,القروض,δάνεια,Kredite,prestiti,empréstimos,кредиты,贷款,ローン,pinjaman,ऋण,ঋণ
shoes,zapatos,chaussures,أحذية,παπούτσια,Schuhe,scarpe,sapato,обувь,鞋,靴,sepatu,जूते,জুতা
downloads,descargas,téléchargements,التنزيلات,λήψεις,Downloads,download,downloads,загрузки,下载,ダウンロード,unduhan,डाउनलोड,ডাউনলোড
stay,permanecer,rester,يقضي,διαμονή,bleiben,rimanere,ficar,оставаться,停留,滞在する,tinggal,रहना,থাকা
nature,naturaleza,nature,طبيعة,φύση,Natur,natura,natureza,природа,自然,自然,alam,प्रकृति,প্রকৃতি
orders,pedidos,ordres,طلبات,παραγγελίες,Bestellungen,ordini,pedidos,заказы,订单,注文,pesanan,आदेश,আদেশ
